City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kodiak,1,US,1549064100,50,39.95,-94.76,42.08,9.17
1,cidreira,56,BR,1549066087,91,-30.17,-50.22,76.83,6.76
2,vila franca do campo,20,PT,1549063800,81,37.72,-25.43,50.0,2.24
3,albany,1,US,1549065420,48,42.65,-73.75,14.0,3.36
4,punta arenas,75,CL,1549062000,54,-53.16,-70.91,53.6,8.05
5,mar del plata,20,AR,1549066088,43,-46.43,-67.52,69.23,13.47
6,busselton,32,AU,1549065795,100,-33.64,115.35,65.54,16.26
7,bluff,88,AU,1549066088,61,-23.58,149.07,79.85,17.38
8,georgetown,75,GY,1549062000,74,6.8,-58.16,82.4,11.41
9,inuvik,5,CA,1549062000,75,68.36,-133.71,-20.21,4.7
10,nikolskoye,90,RU,1549063800,92,59.7,30.79,24.8,11.18
11,katsuura,20,JP,1549062000,69,33.93,134.5,35.6,4.7
12,argentan,92,FR,1549063800,93,48.74,-0.02,41.0,10.29
13,chupa,75,PE,1549062000,76,-15.11,-69.99,50.0,9.17
14,namatanai,36,PG,1549066091,97,-3.66,152.44,84.75,6.42
15,hobart,20,AU,1549063800,46,-42.88,147.33,69.8,6.93
16,rio gallegos,0,AR,1549062000,25,-51.62,-69.22,62.6,10.29
17,cape town,0,ZA,1549062000,73,-33.93,18.42,69.8,5.82
18,los cedrales,40,PY,1549062000,66,-25.66,-54.72,86.0,6.93
19,cockburn town,0,TC,1549066000,100,21.46,-71.14,77.15,16.82
20,dikson,0,RU,1549066093,67,73.51,80.55,-14.25,13.02
21,baculin,48,PH,1549066093,91,7.45,126.58,76.61,10.67
22,saint-philippe,1,CA,1549064100,43,45.36,-73.48,8.96,3.36
23,barrow,0,AR,1549066094,61,-38.31,-60.23,63.87,7.09
24,esso,80,RU,1549066094,85,55.93,158.7,20.81,7.76
25,thompson,75,CA,1549062000,62,55.74,-97.86,-13.01,11.41
26,zhigansk,12,RU,1549065852,0,66.77,123.37,-45.75,3.62
27,new norfolk,20,AU,1549063800,46,-42.78,147.06,69.8,6.93
28,puerto ayora,75,EC,1549062000,70,-0.74,-90.35,84.2,18.34
29,naze,20,NG,1549062000,88,5.43,7.07,80.6,8.43
30,jalu,32,LY,1549066096,43,29.03,21.55,49.79,3.62
31,avarua,40,CK,1549062000,79,-21.21,-159.78,84.2,5.82
32,flinders,100,AU,1549066096,98,-34.58,150.85,69.68,5.97
33,esperance,20,TT,1549062000,69,10.24,-61.45,77.0,9.17
34,rikitea,48,PF,1549066097,99,-23.12,-134.97,81.47,8.1
35,namibe,80,AO,1549066097,100,-15.19,12.15,75.71,3.51
36,minot,1,US,1549065360,80,48.23,-101.3,35.96,11.41
37,port blair,32,IN,1549066098,100,11.67,92.75,82.01,12.35
38,souillac,24,FR,1549063800,100,45.6,-0.6,37.4,1.12
39,ponta do sol,64,BR,1549066099,69,-20.63,-46.0,77.15,2.39
40,fairbanks,1,US,1549061880,58,64.84,-147.72,7.52,10.29
41,port alfred,92,ZA,1549066099,87,-33.59,26.89,71.12,16.26
42,vrani,0,RS,1549065600,50,45.04,21.49,51.8,34.45
43,barcelos,40,PT,1549063800,93,41.53,-8.62,50.0,6.93
44,makakilo city,75,US,1549062660,83,21.35,-158.09,78.08,11.41
45,ushuaia,90,AR,1549062000,57,-54.81,-68.31,50.0,20.8
46,beyneu,0,KZ,1549066101,85,45.32,55.19,16.04,9.1
47,tyup,0,KG,1549066102,71,42.73,78.36,-4.53,2.17
48,saldanha,32,PT,1549066102,86,41.42,-6.55,37.73,17.05
49,suez,0,EG,1549066102,69,29.97,32.54,37.05,2.62
50,den helder,90,NL,1549065300,100,52.96,4.76,37.4,6.93
51,mataura,48,NZ,1549066103,58,-46.19,168.86,60.18,15.82
52,bredasdorp,92,ZA,1549062000,78,-34.53,20.04,71.6,17.22
53,chokurdakh,56,RU,1549066104,45,70.62,147.9,-27.89,8.77
54,geraldton,90,CA,1549062000,77,49.72,-86.95,6.8,12.75
55,price,1,US,1549061580,49,39.6,-110.81,35.96,0.83
56,castro,0,CL,1549062000,55,-42.48,-73.76,64.4,10.29
57,atuona,92,PF,1549066105,100,-9.8,-139.03,81.15,22.08
58,kapaa,75,US,1549061760,68,22.08,-159.32,78.08,18.34
59,jamestown,0,AU,1549066106,36,-33.21,138.6,78.5,5.64
60,epitalion,20,GR,1549065000,81,37.63,21.5,50.0,6.93
61,lagoa,20,PT,1549063800,81,37.14,-8.45,50.0,10.29
62,port elizabeth,90,US,1549065240,80,39.31,-74.98,19.94,5.82
63,xuddur,0,SO,1549066108,57,4.12,43.89,67.92,11.01
64,rawlins,1,US,1549064100,89,41.79,-107.24,37.4,6.93
65,coquimbo,20,CL,1549062000,82,-29.95,-71.34,66.2,9.17
66,tasiilaq,88,GL,1549061400,52,65.61,-37.64,17.6,10.29
67,labuan,75,BN,1549063800,94,5.28,115.24,80.6,4.7
68,nishihara,0,JP,1549063800,64,35.74,139.53,41.0,2.24
69,chapais,1,CA,1549062000,64,49.78,-74.86,-4.01,12.75
70,ankazoabo,0,MG,1549066111,91,-22.29,44.51,69.27,7.76
71,salalah,0,OM,1549061400,56,17.01,54.1,71.6,3.36
72,monteagudo,90,BO,1549062000,94,-19.8,-63.96,73.4,2.39
73,kruisfontein,56,ZA,1549065839,86,-34.0,24.73,69.05,17.05
74,alofi,75,NU,1549062000,70,-19.06,-169.92,84.2,10.29
75,sawakin,76,SD,1549066112,100,19.1,37.33,67.34,6.53
76,dali,0,CN,1549066113,100,25.6,100.24,33.14,2.95
77,poselki,76,RU,1549066113,88,53.13,46.5,13.02,3.85
78,kaitangata,20,NZ,1549065828,60,-46.28,169.85,59.87,17.94
79,yazykovo,88,RU,1549066114,91,54.3,47.38,15.45,5.75
80,grindavik,20,IS,1549063800,67,63.84,-22.43,21.2,5.82
81,tiksi,24,RU,1549065874,0,71.64,128.87,-39.41,3.29
82,kavieng,56,PG,1549066114,100,-2.57,150.8,82.68,4.97
83,butaritari,80,KI,1549066115,100,3.07,172.79,83.99,16.49
84,lebu,12,ET,1549066115,57,8.96,38.73,34.49,2.62
85,vardo,90,US,1549065600,84,39.62,-77.74,21.2,2.84
86,khatanga,64,RU,1549066116,71,71.98,102.47,-23.3,10.78
87,casa nova,0,BR,1549066117,63,-11.77,-39.23,79.04,12.57
88,mahebourg,75,MU,1549062000,78,-20.41,57.7,80.6,12.75
89,tuktoyaktuk,75,CA,1549062000,73,69.44,-133.03,-29.21,8.05
90,gao,0,ML,1549066118,36,16.28,-0.04,62.25,4.18
91,bambous virieux,75,MU,1549062000,78,-20.34,57.76,80.6,12.75
92,chamalieres,75,FR,1549063800,92,45.78,3.06,30.2,2.24
93,bethel,90,US,1549064460,92,60.79,-161.76,19.94,8.05
94,cayenne,75,GF,1549063800,83,4.94,-52.33,78.8,5.82
95,trat,24,TH,1549066119,100,12.25,102.51,78.27,4.85
96,margherita,36,IN,1549063800,93,27.29,95.67,48.2,6.93
97,jilin,0,CN,1549066120,49,43.84,126.54,18.83,9.55
98,okhotsk,68,RU,1549066120,100,59.36,143.24,6.86,9.44
99,carnarvon,44,ZA,1549066121,88,-30.97,22.13,60.77,14.47
100,gonen,56,IL,1549066121,84,33.12,35.65,39.17,2.39
101,ugoofaaru,0,MV,1549066121,100,5.67,73.0,80.88,10.67
102,srednekolymsk,80,RU,1549066122,76,67.46,153.71,-17.4,6.31
103,macae,0,BR,1549062000,66,-22.37,-41.79,84.2,5.82
104,qaanaaq,0,GL,1549066122,90,77.48,-69.36,-15.56,10.22
105,luderitz,80,NA,1549066123,96,-26.65,15.16,58.25,5.08
106,selvazzano dentro,92,IT,1549065000,100,45.39,11.79,51.8,4.7
107,sangar,20,RU,1549066123,0,63.92,127.47,-45.44,3.51
108,waipawa,44,NZ,1549066124,73,-39.94,176.59,63.6,11.12
109,arraial do cabo,0,BR,1549065839,82,-22.97,-42.02,79.13,18.95
110,kupang,40,ID,1549063800,83,-10.16,123.6,82.4,4.7
111,kununurra,0,AU,1549063800,79,-15.77,128.74,86.0,3.36
112,tuatapere,36,NZ,1549066125,93,-46.13,167.69,56.63,14.03
113,lompoc,90,US,1549064640,77,34.64,-120.46,60.98,11.41
114,bathsheba,20,BB,1549062000,65,13.22,-59.52,77.0,12.75
115,mayo,5,CA,1549062000,67,63.59,-135.9,-25.61,2.24
116,linjiang,12,CN,1549066127,74,41.81,126.91,15.45,7.87
117,iquitos,75,PE,1549062000,319,-3.75,-73.25,42.8,1.12
118,leningradskiy,32,RU,1549066127,89,69.38,178.42,-10.34,6.31
119,pacific grove,90,US,1549065600,64,36.62,-121.92,57.92,14.47
120,codrington,75,AU,1549062960,78,-28.95,153.24,84.2,5.19
121,te anau,0,NZ,1549065906,59,-45.41,167.72,58.34,4.52
122,husavik,92,CA,1549066129,84,50.56,-96.99,2.58,13.35
123,launceston,90,AU,1549063800,49,-41.43,147.14,68.0,4.7
124,rio grande,68,BR,1549066129,95,-32.03,-52.1,79.17,7.31
125,tautira,75,PF,1549062000,66,-17.73,-149.15,87.8,18.34
126,mairwa,0,IN,1549066130,84,26.24,84.15,51.9,2.84
127,llata,92,PE,1549066130,99,-9.55,-76.82,47.18,1.95
128,mountain home,1,US,1549065180,49,43.13,-115.69,48.92,5.82
129,kaseda,20,JP,1549062000,69,31.42,130.32,37.4,2.24
130,gayeri,0,BF,1549066131,57,12.65,0.49,67.34,2.73
131,portland,90,US,1549065180,92,45.52,-122.67,51.98,12.75
132,thinadhoo,68,MV,1549066132,100,0.53,72.93,81.87,12.01
133,talnakh,36,RU,1549066132,45,69.49,88.39,-28.16,7.65
134,vaini,56,IN,1549066133,84,15.34,74.49,63.83,2.51
135,provideniya,56,RU,1549066133,100,64.42,-173.23,14.96,32.26
136,amberley,0,NZ,1549063800,48,-43.15,172.73,66.2,9.17
137,smithfield,88,ZA,1549066134,99,-30.21,26.53,57.89,8.32
